Universe	Total population
P047018	10	Usually worked 1 to 14 hours per week:
P047019	12	50 to 52 weeks
P047020	12	48 and 49 weeks
P047021	12	40 to 47 weeks
P047022	12	27 to 39 weeks
P047023	12	14 to 26 weeks
P047024	12	1 to 13 weeks
P047025	10	Did not work in 1999
P047026	6	Female:
P047027	8	Worked in 1999:
P047028	10	Usually worked 35 or more hours per week:
P047029	12	50 to 52 weeks
P047030	12	48 and 49 weeks
P047031	12	40 to 47 weeks
P047032	12	27 to 39 weeks
P047033	12	14 to 26 weeks
P047034	12	1 to 13 weeks
P047035	10	Usually worked 15 to 34 hours per week:
P047036	12	50 to 52 weeks
P047037	12	48 and 49 weeks
P047038	12	40 to 47 weeks
P047039	12	27 to 39 weeks
P047040	12	14 to 26 weeks
P047041	12	1 to 13 weeks
P047042	10	Usually worked 1 to 14 hours per week:
P047043	12	50 to 52 weeks
P047044	12	48 and 49 weeks
P047045	12	40 to 47 weeks
P047046	12	27 to 39 weeks
P047047	12	14 to 26 weeks
P047048	12	1 to 13 weeks
P047049	10	Did not work in 1999
Universe	Families
P048001	0	Total:
P048002	6	Married-couple family:
P048003	8	No workers
P048004	8	1 worker
P048005	8	2 workers:
P048006	10	Husband and wife worked
P048007	10	Other
P048008	8	3 or more workers:
P048009	10	Husband and wife worked
P048010	10	Other
P048011	6	Other family:
P048012	8	Male householder, no wife present:
P048013	10	No workers
P048014	10	1 worker
P048015	10	2 workers
P048016	10	3 or more workers
P048017	8	Female householder, no husband present:
P048018	10	No workers
P048019	10	1 worker
P048020	10	2 workers
P048021	10	3 or more workers
Universe	Employed civilian population 16 years and over
P049001	0	Total:
P049002	6	Male:
P049003	8	Agriculture, forestry, fishing and hunting, and mining:
P049004	10	Agriculture, forestry, fishing and hunting
P049005	10	Mining
P049006	8	Construction
P049007	8	Manufacturing
P049008	8	Wholesale trade
P049009	8	Retail trade
P049010	8	Transportation and warehousing, and utilities:
P049011	10	Transportation and warehousing
P049012	10	Utilities
P049013	8	Information
P049014	8	Finance, insurance, real estate and rental and leasing:
P049015	10	Finance and insurance
P049016	10	Real estate and rental and leasing
P049017	8	Professional, scientific, management, administrative, and waste management services:
P049018	10	Professional, scientific, and technical services
P049019	10	Management of companies and enterprises
P049020	10	Administrative and support and waste management services
P049021	8	Educational, health and social services:
P049022	10	Educational services
P049023	10	Health care and social assistance
P049024	8	Arts, entertainment, recreation, accommodation and food services:
P049025	10	Arts, entertainment, and recreation
P049026	10	Accommodation and food services
P049027	8	Other services (except public administration)
P049028	8	Public administration
P049029	6	Female:
P049030	8	Agriculture, forestry, fishing and hunting, and mining:
P049031	10	Agriculture, forestry, fishing and hunting
P049032	10	Mining
P049033	8	Construction
P049034	8	Manufacturing
P049035	8	Wholesale trade
P049036	8	Retail trade
P049037	8	Transportation and warehousing, and utilities:
P049038	10	Transportation and warehousing
P049039	10	Utilities
P049040	8	Information
P049041	8	Finance, insurance, real estate and rental and leasing:
P049042	10	Finance and insurance
P049043	10	Real estate and rental and leasing
P049044	8	Professional, scientific, management, administrative, and waste management services:
P049045	10	Professional, scientific, and technical services
P049046	10	Management of companies and enterprises
P049047	10	Administrative and support and waste management services
P049048	8	Educational, health and social services:
P049049	10	Educational services
P049050	10	Health care and social assistance
P049051	8	Arts, entertainment, recreation, accommodation and food services:
P049052	10	Arts, entertainment, and recreation
P049053	10	Accommodation and food services
P049054	8	Other services (except public administration)
P049055	8	Public administration
Universe	Employed civilian population 16 years and over
P050001	0	Total:
P050002	6	Male:
P050003	8	Management, professional, and related occupations:
P050004	10	Management, business, and financial operations occupations:
P050005	12	Management occupations, except farmers and farm managers
P050006	12	Farmers and farm managers
P050007	12	Business and financial operations occupations:
P050008	14	Business operations specialists
P050009	14	Financial specialists
P050010	10	Professional and related occupations:
P050011	12	Computer and mathematical occupations
P050012	12	Architecture and engineering occupations:
P050013	14	Architects, surveyors, cartographers, and engineers
P050014	14	Drafters, engineering, and mapping technicians
P050015	12	Life, physical, and social science occupations
P050016	12	Community and social services occupations
P050017	12	Legal occupations
P050018	12	Education, training, and library occupations
P050019	12	Arts, design, entertainment, sports, and media occupations
P050020	12	Healthcare practitioners and technical occupations:
P050021	14	Health diagnosing and treating practitioners and technical occupations
P050022	14	Health technologists and technicians
P050023	8	Service occupations:
P050024	10	Healthcare support occupations
P050025	10	Protective service occupations:
P050026	12	Fire fighting, prevention, and law enforcement workers, including supervisors
P050027	12	Other protective service workers, including supervisors
P050028	10	Food preparation and serving related occupations
P050029	10	Building and grounds cleaning and maintenance occupations
P050030	10	Personal care and service occupations
P050031	8	Sales and office occupations:
P050032	10	Sales and related occupations
P050033	10	Office and administrative support occupations
P050034	8	Farming, fishing, and forestry occupations
P050035	8	Construction, extraction, and maintenance occupations:
P050036	10	Construction and extraction occupations:
P050037	12	Supervisors, construction and extraction workers
P050038	12	Construction trades workers
P050039	12	Extraction workers
P050040	10	Installation, maintenance, and repair occupations
P050041	8	Production, transportation, and material moving occupations:
P050042	10	Production occupations
P050043	10	Transportation and material moving occupations:
P050044	12	Supervisors, transportation and material moving workers
P050045	12	Aircraft and traffic control occupations
P050046	12	Motor vehicle operators
P050047	12	Rail, water and other transportation occupations
P050048	12	Material moving workers
P050049	6	Female:
P050050	8	Management, professional, and related occupations:
P050051	10	Management, business, and financial operations occupations:
P050052	12	Management occupations, except farmers and farm managers
P050053	12	Farmers and farm managers
P050054	12	Business and financial operations occupations:
P050055	14	Business operations specialists
P050056	14	Financial specialists
P050057	10	Professional and related occupations:
P050058	12	Computer and mathematical occupations
P050059	12	Architecture and engineering occupations:
P050060	14	Architects, surveyors, cartographers, and engineers
P050061	14	Drafters, engineering, and mapping technicians
P050062	12	Life, physical, and social science occupations
P050063	12	Community and social services occupations
P050064	12	Legal occupations
P050065	12	Education, training, and library occupations
P050066	12	Arts, design, entertainment, sports, and media occupations
P050067	12	Healthcare practitioners and technical occupations:
P050068	14	Health diagnosing and treating practitioners and technical occupations
P050069	14	Health technologists and technicians
P050070	8	Service occupations:
P050071	10	Healthcare support occupations
P050072	10	Protective service occupations:
P050073	12	Fire fighting, prevention, and law enforcement workers, including supervisors
P050074	12	Other protective service workers, including supervisors
P050075	10	Food preparation and serving related occupations
P050076	10	Building and grounds cleaning and maintenance occupations
P050077	10	Personal care and service occupations
P050078	8	Sales and office occupations:
P050079	10	Sales and related occupations
P050080	10	Office and administrative support occupations
P050081	8	Farming, fishing, and forestry occupations
P050082	8	Construction, extraction, and maintenance occupations:
P050083	10	Construction and extraction occupations:
P050084	12	Supervisors, construction and extraction workers
P050085	12	Construction trades workers
P050086	12	Extraction workers
P050087	10	Installation, maintenance, and repair occupations
P050088	8	Production, transportation, and material moving occupations:
P050089	10	Production occupations
P050090	10	Transportation and material moving occupations:
P050091	12	Supervisors, transportation and material moving workers
P050092	12	Aircraft and traffic control occupations
P050093	12	Motor vehicle operators
P050094	12	Rail, water and other transportation occupations
P050095	12	Material moving workers
Universe	Employed civilian population 16 years and over
P051001	0	Total:
P051002	6	Male:
P051003	8	All industries except agriculture, forestry, fishing and hunting, and mining:
P051004	10	Private for-profit wage and salary workers:
P051005	12	Employee of private company
P051006	12	Self-employed in own incorporated business
P051007	10	Private not-for-profit wage and salary workers
P051008	10	Local government workers
P051009	10	State government workers
P051010	10	Federal government workers
P051011	10	Self-employed workers in own not incorporated business
P051012	10	Unpaid family workers
P051013	8	Agriculture, forestry, fishing and hunting, and mining:
P051014	10	Agriculture, forestry, fishing and hunting:
P051015	12	Private for-profit wage and salary workers:
P051016	14	Employee of private company
P051017	14	Self-employed in own incorporated business
P051018	12	Private not-for-profit wage and salary workers
P051019	12	Local government workers
P051020	12	State government workers
P051021	12	Federal government workers
P051022	12	Self-employed workers in own not incorporated business
P051023	12	Unpaid family workers
P051024	10	Mining:
P051025	12	Private for-profit wage and salary workers:
P051026	14	Employee of private company
P051027	14	Self-employed in own incorporated business
P051028	12	Private not-for-profit wage and salary workers
P051029	12	Local government workers
P051030	12	State government workers
P051031	12	Federal government workers
P051032	12	Self-employed workers in own not incorporated business
P051033	12	Unpaid family workers
P051034	6	Female:
P051035	8	All industries except agriculture, forestry, fishing and hunting, and mining:
P051036	10	Private for-profit wage and salary workers:
P051037	12	Employee of private company
P051038	12	Self-employed in own incorporated business
P051039	10	Private not-for-profit wage and salary workers
P051040	10	Local government workers
P051041	10	State government workers
P051042	10	Federal government workers
P051043	10	Self-employed workers in own not incorporated business
P051044	10	Unpaid family workers
P051045	8	Agriculture, forestry, fishing and hunting, and mining:
P051046	10	Agriculture, forestry, fishing and hunting:
P051047	12	Private for-profit wage and salary workers:
P051048	14	Employee of private company
P051049	14	Self-employed in own incorporated business
P051050	12	Private not-for-profit wage and salary workers
P051051	12	Local government workers
P051052	12	State government workers
P051053	12	Federal government workers
P051054	12	Self-employed workers in own not incorporated business
P051055	12	Unpaid family workers
P051056	10	Mining:
P051057	12	Private for-profit wage and salary workers:
P051058	14	Employee of private company
P051059	14	Self-employed in own incorporated business
P051060	12	Private not-for-profit wage and salary workers
P051061	12	Local government workers
P051062	12	State government workers
P051063	12	Federal government workers
P051064	12	Self-employed workers in own not incorporated business
P051065	12	Unpaid family workers
Universe	Households
P052001	0	Total:
P052002	6	Less than $10,000
P052003	6	$10,000 to $14,999
P052004	6	$15,000 to $19,999
P052005	6	$20,000 to $24,999
P052006	6	$25,000 to $29,999
P052007	6	$30,000 to $34,999
P052008	6	$35,000 to $39,999
P052009	6	$40,000 to $44,999
P052010	6	$45,000 to $49,999
P052011	6	$50,000 to $59,999
P052012	6	$60,000 to $74,999
P052013	6	$75,000 to $99,999
P052014	6	$100,000 to $124,999
P052015	6	$125,000 to $149,999
P052016	6	$150,000 to $199,999
P052017	6	$200,000 or more
Universe	Households
P053001	0	Median household income in 1999
Universe	Households
P054001	0	Aggregate household income in 1999:
P054002	6	Less than $200,000
P054003	6	$200,000 or more
Universe	Households
P055001	0	Total:
P055002	6	Householder under 25 years:
P055003	8	Less than $10,000
P055004	8	$10,000 to $14,999
P055005	8	$15,000 to $19,999
P055006	8	$20,000 to $24,999
P055007	8	$25,000 to $29,999
P055008	8	$30,000 to $34,999
P055009	8	$35,000 to $39,999
P055010	8	$40,000 to $44,999
P055011	8	$45,000 to $49,999
P055012	8	$50,000 to $59,999
P055013	8	$60,000 to $74,999
P055014	8	$75,000 to $99,999
P055015	8	$100,000 to $124,999
P055016	8	$125,000 to $149,999
P055017	8	$150,000 to $199,999
P055018	8	$200,000 or more
P055019	6	Householder 25 to 34 years:
P055020	8	Less than $10,000
P055021	8	$10,000 to $14,999
P055022	8	$15,000 to $19,999
P055023	8	$20,000 to $24,999
P055024	8	$25,000 to $29,999
P055025	8	$30,000 to $34,999
P055026	8	$35,000 to $39,999
P055027	8	$40,000 to $44,999
P055028	8	$45,000 to $49,999
P055029	8	$50,000 to $59,999
P055030	8	$60,000 to $74,999
P055031	8	$75,000 to $99,999
P055032	8	$100,000 to $124,999
P055033	8	$125,000 to $149,999
P055034	8	$150,000 to $199,999
P055035	8	$200,000 or more
P055036	6	Householder 35 to 44 years:
P055037	8	Less than $10,000
P055038	8	$10,000 to $14,999
P055039	8	$15,000 to $19,999
P055040	8	$20,000 to $24,999
P055041	8	$25,000 to $29,999
P055042	8	$30,000 to $34,999
P055043	8	$35,000 to $39,999
P055044	8	$40,000 to $44,999
P055045	8	$45,000 to $49,999
P055046	8	$50,000 to $59,999
P055047	8	$60,000 to $74,999
P055048	8	$75,000 to $99,999
P055049	8	$100,000 to $124,999
P055050	8	$125,000 to $149,999
P055051	8	$150,000 to $199,999
P055052	8	$200,000 or more
P055053	6	Householder 45 to 54 years:
P055054	8	Less than $10,000
P055055	8	$10,000 to $14,999
P055056	8	$15,000 to $19,999
P055057	8	$20,000 to $24,999
P055058	8	$25,000 to $29,999
P055059	8	$30,000 to $34,999
P055060	8	$35,000 to $39,999
P055061	8	$40,000 to $44,999
P055062	8	$45,000 to $49,999
P055063	8	$50,000 to $59,999
P055064	8	$60,000 to $74,999
P055065	8	$75,000 to $99,999
P055066	8	$100,000 to $124,999
P055067	8	$125,000 to $149,999
P055068	8	$150,000 to $199,999
P055069	8	$200,000 or more
P055070	6	Householder 55 to 64 years:
P055071	8	Less than $10,000
